1620
WASH5P	WASH5P	MissingGeneType
FAM138A	FAM138A	MissingGeneType
FAM138F	FAM138F	MissingGeneType
OR4F17	OR4F17	MissingGeneType
FLJ45445	FLJ45445	MissingGeneType
PPAP2C	PPAP2C	MissingGeneType
MIER2	MIER2	MissingGeneType
THEG	THEG	MissingGeneType
C2CD4C	C2CD4C	MissingGeneType
SHC2	SHC2	MissingGeneType
ODF3L2	ODF3L2	MissingGeneType
MADCAM1	MADCAM1	MissingGeneType
TPGS1	TPGS1	MissingGeneType
CDC34	CDC34	MissingGeneType
GZMM	GZMM	MissingGeneType
BSG	BSG	MissingGeneType
HCN2	HCN2	MissingGeneType
POLRMT	POLRMT	MissingGeneType
FGF22	FGF22	MissingGeneType
RNF126	RNF126	MissingGeneType
FSTL3	FSTL3	MissingGeneType
PRSS57	PRSS57	MissingGeneType
PALM	PALM	MissingGeneType
C19orf21	C19orf21	MissingGeneType
PTBP1	PTBP1	MissingGeneType
MIR4745	MIR4745	MissingGeneType
LPPR3	LPPR3	MissingGeneType
MIR3187	MIR3187	MissingGeneType
AZU1	AZU1	MissingGeneType
PRTN3	PRTN3	MissingGeneType
ELANE	ELANE	MissingGeneType
CFD	CFD	MissingGeneType
MED16	MED16	MissingGeneType
R3HDM4	R3HDM4	MissingGeneType
KISS1R	KISS1R	MissingGeneType
ARID3A	ARID3A	MissingGeneType
WDR18	WDR18	MissingGeneType
GRIN3B	GRIN3B	MissingGeneType
C19orf6	C19orf6	MissingGeneType
CNN2	CNN2	MissingGeneType
ABCA7	ABCA7	MissingGeneType
HMHA1	HMHA1	MissingGeneType
POLR2E	POLR2E	MissingGeneType
GPX4	GPX4	MissingGeneType
SBNO2	SBNO2	MissingGeneType
STK11	STK11	MissingGeneType
C19orf26	C19orf26	MissingGeneType
ATP5D	ATP5D	MissingGeneType
MIDN	MIDN	MissingGeneType
CIRBP-AS1	CIRBP-AS1	MissingGeneType
CIRBP	CIRBP	MissingGeneType
C19orf24	C19orf24	MissingGeneType
EFNA2	EFNA2	MissingGeneType
MUM1	MUM1	MissingGeneType
NDUFS7	NDUFS7	MissingGeneType
GAMT	GAMT	MissingGeneType
DAZAP1	DAZAP1	MissingGeneType
RPS15	RPS15	MissingGeneType
APC2	APC2	MissingGeneType
C19orf25	C19orf25	MissingGeneType
PCSK4	PCSK4	MissingGeneType
REEP6	REEP6	MissingGeneType
ADAMTSL5	ADAMTSL5	MissingGeneType
PLK5	PLK5	MissingGeneType
MEX3D	MEX3D	MissingGeneType
MBD3	MBD3	MissingGeneType
UQCR11	UQCR11	MissingGeneType
TCF3	TCF3	MissingGeneType
ONECUT3	ONECUT3	MissingGeneType
ATP8B3	ATP8B3	MissingGeneType
REXO1	REXO1	MissingGeneType
MIR1909	MIR1909	MissingGeneType
LOC100288123	LOC100288123	MissingGeneType
KLF16	KLF16	MissingGeneType
FAM108A1	FAM108A1	MissingGeneType
SCAMP4	SCAMP4	MissingGeneType
ADAT3	ADAT3	MissingGeneType
CSNK1G2	CSNK1G2	MissingGeneType
CSNK1G2-AS1	CSNK1G2-AS1	MissingGeneType
BTBD2	BTBD2	MissingGeneType
MKNK2	MKNK2	MissingGeneType
MOB3A	MOB3A	MissingGeneType
IZUMO4	IZUMO4	MissingGeneType
AP3D1	AP3D1	MissingGeneType
DOT1L	DOT1L	MissingGeneType
PLEKHJ1	PLEKHJ1	MissingGeneType
MIR1227	MIR1227	MissingGeneType
SF3A2	SF3A2	MissingGeneType
AMH	AMH	MissingGeneType
MIR4321	MIR4321	MissingGeneType
JSRP1	JSRP1	MissingGeneType
OAZ1	OAZ1	MissingGeneType
C19orf35	C19orf35	MissingGeneType
LINGO3	LINGO3	MissingGeneType
LSM7	LSM7	MissingGeneType
SPPL2B	SPPL2B	MissingGeneType
TMPRSS9	TMPRSS9	MissingGeneType
TIMM13	TIMM13	MissingGeneType
LMNB2	LMNB2	MissingGeneType
GADD45B	GADD45B	MissingGeneType
GNG7	GNG7	MissingGeneType
DIRAS1	DIRAS1	MissingGeneType
SLC39A3	SLC39A3	MissingGeneType
SGTA	SGTA	MissingGeneType
THOP1	THOP1	MissingGeneType
ZNF554	ZNF554	MissingGeneType
ZNF555	ZNF555	MissingGeneType
ZNF556	ZNF556	MissingGeneType
ZNF57	ZNF57	MissingGeneType
ZNF77	ZNF77	MissingGeneType
TLE6	TLE6	MissingGeneType
TLE2	TLE2	MissingGeneType
AES	AES	MissingGeneType
GNA11	GNA11	MissingGeneType
GNA15	GNA15	MissingGeneType
S1PR4	S1PR4	MissingGeneType
NCLN	NCLN	MissingGeneType
CELF5	CELF5	MissingGeneType
NFIC	NFIC	MissingGeneType
C19orf77	C19orf77	MissingGeneType
DOHH	DOHH	MissingGeneType
FZR1	FZR1	MissingGeneType
MFSD12	MFSD12	MissingGeneType
C19orf71	C19orf71	MissingGeneType
HMG20B	HMG20B	MissingGeneType
GIPC3	GIPC3	MissingGeneType
TBXA2R	TBXA2R	MissingGeneType
C19orf29-AS1	C19orf29-AS1	MissingGeneType
C19orf29	C19orf29	MissingGeneType
PIP5K1C	PIP5K1C	MissingGeneType
TJP3	TJP3	MissingGeneType
APBA3	APBA3	MissingGeneType
MRPL54	MRPL54	MissingGeneType
RAX2	RAX2	MissingGeneType
MATK	MATK	MissingGeneType
ZFR2	ZFR2	MissingGeneType
ATCAY	ATCAY	MissingGeneType
ITGB1BP3	ITGB1BP3	MissingGeneType
DAPK3	DAPK3	MissingGeneType
MIR637	MIR637	MissingGeneType
EEF2	EEF2	MissingGeneType
SNORD37	SNORD37	MissingGeneType
PIAS4	PIAS4	MissingGeneType
ZBTB7A	ZBTB7A	MissingGeneType
MAP2K2	MAP2K2	MissingGeneType
CREB3L3	CREB3L3	MissingGeneType
SIRT6	SIRT6	MissingGeneType
ANKRD24	ANKRD24	MissingGeneType
EBI3	EBI3	MissingGeneType
CCDC94	CCDC94	MissingGeneType
SHD	SHD	MissingGeneType
TMIGD2	TMIGD2	MissingGeneType
FSD1	FSD1	MissingGeneType
STAP2	STAP2	MissingGeneType
MPND	MPND	MissingGeneType
SH3GL1	SH3GL1	MissingGeneType
CHAF1A	CHAF1A	MissingGeneType
UBXN6	UBXN6	MissingGeneType
MIR4746	MIR4746	MissingGeneType
HDGFRP2	HDGFRP2	MissingGeneType
PLIN4	PLIN4	MissingGeneType
PLIN5	PLIN5	MissingGeneType
LRG1	LRG1	MissingGeneType
SEMA6B	SEMA6B	MissingGeneType
TNFAIP8L1	TNFAIP8L1	MissingGeneType
C19orf10	C19orf10	MissingGeneType
DPP9	DPP9	MissingGeneType
LOC100131094	LOC100131094	MissingGeneType
MIR7-3HG	MIR7-3HG	MissingGeneType
MIR7-3	MIR7-3	MissingGeneType
FEM1A	FEM1A	MissingGeneType
TICAM1	TICAM1	MissingGeneType
PLIN3	PLIN3	MissingGeneType
ARRDC5	ARRDC5	MissingGeneType
UHRF1	UHRF1	MissingGeneType
MIR4747	MIR4747	MissingGeneType
KDM4B	KDM4B	MissingGeneType
PTPRS	PTPRS	MissingGeneType
ZNRF4	ZNRF4	MissingGeneType
PLAC2	PLAC2	MissingGeneType
SAFB2	SAFB2	MissingGeneType
SAFB	SAFB	MissingGeneType
C19orf70	C19orf70	MissingGeneType
HSD11B1L	HSD11B1L	MissingGeneType
RPL36	RPL36	MissingGeneType
LONP1	LONP1	MissingGeneType
CATSPERD	CATSPERD	MissingGeneType
PRR22	PRR22	MissingGeneType
DUS3L	DUS3L	MissingGeneType
NRTN	NRTN	MissingGeneType
FUT6	FUT6	MissingGeneType
FUT3	FUT3	MissingGeneType
FUT5	FUT5	MissingGeneType
NDUFA11	NDUFA11	MissingGeneType
VMAC	VMAC	MissingGeneType
CAPS	CAPS	MissingGeneType
RANBP3	RANBP3	MissingGeneType
LOC100128568	LOC100128568	MissingGeneType
RFX2	RFX2	MissingGeneType
ACSBG2	ACSBG2	MissingGeneType
MLLT1	MLLT1	MissingGeneType
ACER1	ACER1	MissingGeneType
CLPP	CLPP	MissingGeneType
ALKBH7	ALKBH7	MissingGeneType
PSPN	PSPN	MissingGeneType
GTF2F1	GTF2F1	MissingGeneType
KHSRP	KHSRP	MissingGeneType
MIR3940	MIR3940	MissingGeneType
SLC25A41	SLC25A41	MissingGeneType
SLC25A23	SLC25A23	MissingGeneType
CRB3	CRB3	MissingGeneType
DENND1C	DENND1C	MissingGeneType
TUBB4A	TUBB4A	MissingGeneType
TNFSF9	TNFSF9	MissingGeneType
CD70	CD70	MissingGeneType
TNFSF14	TNFSF14	MissingGeneType
C3	C3	MissingGeneType
GPR108	GPR108	MissingGeneType
TRIP10	TRIP10	MissingGeneType
SH2D3A	SH2D3A	MissingGeneType
VAV1	VAV1	MissingGeneType
EMR1	EMR1	MissingGeneType
EMR4P	EMR4P	MissingGeneType
FLJ25758	FLJ25758	MissingGeneType
MBD3L5	MBD3L5	MissingGeneType
MBD3L4	MBD3L4	MissingGeneType
MBD3L2	MBD3L2	MissingGeneType
MBD3L3	MBD3L3	MissingGeneType
ZNF557	ZNF557	MissingGeneType
INSR	INSR	MissingGeneType
ARHGEF18	ARHGEF18	MissingGeneType
LOC100128573	LOC100128573	MissingGeneType
PEX11G	PEX11G	MissingGeneType
C19orf45	C19orf45	MissingGeneType
ZNF358	ZNF358	MissingGeneType
MCOLN1	MCOLN1	MissingGeneType
PNPLA6	PNPLA6	MissingGeneType
CAMSAP3	CAMSAP3	MissingGeneType
XAB2	XAB2	MissingGeneType
C19orf79	C19orf79	MissingGeneType
PCP2	PCP2	MissingGeneType
STXBP2	STXBP2	MissingGeneType
RETN	RETN	MissingGeneType
C19orf59	C19orf59	MissingGeneType
TRAPPC5	TRAPPC5	MissingGeneType
FCER2	FCER2	MissingGeneType
CLEC4G	CLEC4G	MissingGeneType
CD209	CD209	MissingGeneType
CLEC4M	CLEC4M	MissingGeneType
CLEC4GP1	CLEC4GP1	MissingGeneType
EVI5L	EVI5L	MissingGeneType
FLJ22184	FLJ22184	MissingGeneType
LOC388499	LOC388499	MissingGeneType
LRRC8E	LRRC8E	MissingGeneType
MAP2K7	MAP2K7	MissingGeneType
LOC100507588	LOC100507588	MissingGeneType
SNAPC2	SNAPC2	MissingGeneType
CTXN1	CTXN1	MissingGeneType
TIMM44	TIMM44	MissingGeneType
ELAVL1	ELAVL1	MissingGeneType
CCL25	CCL25	MissingGeneType
FBN3	FBN3	MissingGeneType
CERS4	CERS4	MissingGeneType
CD320	CD320	MissingGeneType
NDUFA7	NDUFA7	MissingGeneType
RPS28	RPS28	MissingGeneType
KANK3	KANK3	MissingGeneType
ANGPTL4	ANGPTL4	MissingGeneType
LOC100507567	LOC100507567	MissingGeneType
RAB11B	RAB11B	MissingGeneType
MARCH2	MARCH2	MissingGeneType
HNRNPM	HNRNPM	MissingGeneType
PRAM1	PRAM1	MissingGeneType
