# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "00ref/UCSC_hg19_chr19_gene_annotation.gtf" "-o" "08feature_count/out_counts.txt" "04align_out/adrenalAligned.sortedByCoord.out.bam" "04align_out/brainAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	04align_out/adrenalAligned.sortedByCoord.out.bam	04align_out/brainAligned.sortedByCoord.out.bam
WASH5P	chr19;chr19;chr19	60951;66346;70928	61894;66499;70966	-;-;-	1137	0	0
FAM138A	chr19;chr19;chr19	76220;76886;77330	76783;77090;77690	-;-;-	1130	0	0
FAM138F	chr19;chr19;chr19	76220;76886;77330	76783;77090;77690	-;-;-	1130	0	0
OR4F17	chr19	110679	111596	+	918	0	0
FLJ45445	chr19;chr19;chr19	197016;201756;202041	201662;201813;202209	-;-;-	4874	0	0
PPAP2C	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	281044;281044;281044;282134;282134;282134;282752;282752;282752;287474;287474;287474;288020;288020;288020;290952;291285;291326	281537;281537;281537;282310;282310;282310;282809;282809;282809;287751;287751;287751;288171;288171;288171;291169;291435;291435	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1528	0	0
MIER2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	305575;307119;308577;308801;311845;312191;313492;325635;326507;327133;327864;334400;336083;344774	306711;307536;308665;308925;311939;312272;313643;325704;326598;327256;327989;334542;336173;344791	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2762	0	0
THEG	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	362057;362057;367065;367065;371205;371205;372631;372631;373470;373470;373940;374299;374299;375663;375663	362426;362426;367224;367224;371322;371322;372700;372700;373531;373531;374011;374421;374421;376013;376013	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1326	0	0
C2CD4C	chr19;chr19	405443;409006	408401;409170	-;-	3124	0	0
SHC2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	416583;418923;422146;425097;430684;434709;436165;436380;436630;438718;438970;440862;460529	417322;419056;422456;425231;430747;434865;436291;436431;436683;438837;439030;440932;460996	-;-;-;-;-;-;-;-;-;-;-;-;-	2494	0	0
ODF3L2	chr19;chr19;chr19;chr19	463346;467649;472394;474621	464364;467762;472501;474983	-;-;-;-	1604	0	0
MADCAM1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	496490;496490;497833;497833;498496;498496;501669;504745;504745	496551;496551;498117;498117;498825;498825;501929;505343;505343	+;+;+;+;+;+;+;+;+	1537	0	0
TPGS1	chr19;chr19	507497;518889	507844;519654	+;+	1114	0	0
CDC34	chr19;chr19;chr19;chr19;chr19	531733;535837;536243;537013;541339	532108;535923;536340;537147;542087	+;+;+;+;+	1445	0	0
GZMM	chr19;chr19;chr19;chr19;chr19	544027;547280;548542;548922;549630	544126;547436;548677;549185;549919	+;+;+;+;+	947	0	0
BSG	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	571325;572537;572537;577774;579500;579500;580379;580379;580379;580646;580646;580646;581315;581315;581315;582306;582306;582306;582514;582514;582514;582750;582750;582750	571579;572701;572701;578121;579656;579656;580461;580461;580461;580782;580782;580782;581591;581591;581591;582330;582330;582330;582582;582582;582582;583493;583493;583493	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2260	0	0
HCN2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	589893;603544;605061;607964;610259;613248;613852;615795	590577;603967;605222;608182;610405;613488;614016;617159	+;+;+;+;+;+;+;+	3408	0	0
POLRMT	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	617223;617419;617570;617777;618488;618705;618997;619210;619586;619958;620365;621058;622149;622582;622821;623454;624719;625124;629540;632834;633425	617323;617480;617655;617849;618586;618760;619110;619296;619765;620080;620487;621846;622373;622752;622985;623603;624905;625254;630168;632938;633568	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3800	0	0
FGF22	chr19;chr19;chr19	639926;643235;643410	640139;643338;643604	+;+;+	513	0	0
RNF126	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	647526;648372;648882;649679;650234;651611;652233;652826;663047	648277;648487;648975;649748;650296;651855;652296;652884;663233	-;-;-;-;-;-;-;-;-	1650	0	0
FSTL3	chr19;chr19;chr19;chr19;chr19	676389;677792;680274;681333;681650	676526;677977;680489;681560;683392	+;+;+;+;+	2511	0	0
PRSS57	chr19;chr19;chr19;chr19;chr19	685546;686925;691858;694814;695352	685922;687188;692002;694970;695461	-;-;-;-;-	1053	0	0
PALM	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	708953;708953;726138;726138;727008;727008;727564;727564;731095;731095;734173;734173;736019;736019;740352;746285;746285	709151;709151;726189;726189;727088;727088;727694;727694;731245;731245;734194;734194;736078;736078;740483;748330;748330	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2874	0	0
C19orf21	chr19;chr19;chr19;chr19;chr19	751146;756890;759909;761625;763501	751171;758726;760039;761663;764318	+;+;+;+;+	2851	0	0
