target_id	length	eff_length	est_counts	tpm
NM_130786	1766	1537.83	0	0
NR_015380	2130	1901.83	0	0
NM_019112	6818	6589.83	0	0
NM_024527	2090	1861.83	0	0
NM_133492	1088	859.835	0	0
NM_001111034	1608	1379.83	0	0
NM_001111035	1631	1402.83	0	0
NM_001111036	1558	1329.83	0	0
NM_001611	1474	1245.83	0	0
NM_033068	1347	1118.83	0	0
NM_030924	2712	2483.83	0	0
NM_178525	1422	1193.83	0	0
NM_004924	3954	3725.83	0	0
NM_030957	4237	4008.83	0	0
NM_213604	2857	2628.83	1	22.0496
NM_138422	1580	1351.83	0	0
NM_001142555	2075	1846.83	0	0
NM_024876	2443	2214.83	0	0
NM_001130	1676	1447.83	17784.3	712002
NM_198969	1743	1514.83	268.845	10287.3
NM_198970	1673	1444.83	989.867	39712.1
NM_005858	3543	3314.83	0	0
NM_014371	2114	1885.83	0	0
NM_001098632	2018	1789.83	0	0
NM_001098633	1774	1545.83	0	0
NM_032375	2374	2145.83	0	0
NM_001243027	5263	5034.83	5.2079e-05	0.000599572
NM_001243028	5170	4941.83	0.999947	11.7288
NM_001626	5300	5071.83	1.0827e-06	1.23739e-05
NM_001145396	2953	2724.83	0	0
NM_153329	3106	2877.83	0	0
NM_032878	977	748.835	0	0
NM_198867	938	709.835	0	0
NM_032306	1331	1102.83	0	0
NM_000479	2018	1789.83	0	0
NM_001039667	1789	1560.83	0	0
NM_139314	1903	1674.83	0	0
NM_031917	1857	1628.83	0	0
NM_152363	3217	2988.83	6	116.363
NM_133475	4026	3797.83	0	0
NM_032139	4453	4224.83	0	0
NM_020959	4152	3923.83	1	14.7725
NM_001130524	2391	2162.83	0	0
NM_032493	2355	2126.83	0	0
NM_005498	1751	1522.83	0	0
NM_014203	3499	3270.83	0	0
NM_130787	3433	3204.83	0	0
NM_004069	890	661.835	0	0
NM_021575	776	547.835	0	0
NM_001077523	4741	4512.83	0	0
NM_003938	4863	4634.83	0	0
NM_004886	2158	1929.83	0	0
NM_005883	10151	9922.83	0	0
NM_001024807	2450	2221.83	0	0
NM_005166	2447	2218.83	0	0
NM_001645	461	232.835	0	0
NR_028412	939	710.835	0	0
NR_028413	754	525.835	0	0
NR_028414	631	402.835	0.390908	56.2486
NM_000483	729	500.835	0	0
NM_001646	615	386.835	0	0
NR_037932	1829	1600.83	0	0
NM_000041	1180	951.835	0	0
NM_001172630	4219	3990.83	0	0
NM_052948	3918	3689.83	0	0
NM_004491	8888	8659.83	0	0
NM_004706	3213	2984.83	0	0
NM_198977	3114	2885.83	0	0
NM_199002	3238	3009.83	0	0
NM_001130955	5741	5512.83	0	0
NM_015318	5220	4991.83	0	0
NM_005224	2810	2581.83	0	0
NM_001199196	2488	2259.83	0	0
NM_033415	2380	2151.83	0	0
NM_001025604	2525	2296.83	0	0
NM_015683	2503	2274.83	0	0
NM_001080523	1638	1409.83	0	0
NM_018154	1731	1502.83	0	0
NM_004317	1280	1051.83	0	0
NM_001024656	848	619.835	0	0
NM_001114598	1044	815.835	0	0
NM_033064	5036	4807.83	0	0
NM_001193646	2070	1841.83	0	0
NM_012068	2275	2046.83	0	0
NM_032885	1896	1667.83	0	0
NM_020410	3864	3635.83	0	0
NM_001256213	3466	3237.83	1	17.9023
NM_001256214	3636	3407.83	0	0
NM_152296	3597	3368.83	0	0
NM_000704	3559	3330.83	0	0
NM_001001975	700	471.835	0	0
NM_001687	996	767.835	0	0
NM_001167867	1772	1543.83	0	0
NM_001167868	1609	1380.83	0	0
NM_001167869	1563	1334.83	0	0
NM_001167870	1482	1253.83	0	0
NM_001167871	1645	1416.83	0	0
NM_018035	1726	1497.83	0	0
NR_030765	1709	1480.83	0	0
NM_001178002	4967	4738.83	0	0
NM_138813	5090	4861.83	0	0
NM_001015878	1250	1021.83	0	0
NM_001015879	1109	880.835	0	0
NM_003160	1114	885.835	0	0
NM_001699	4710	4481.83	1.73637	22.4569
NM_021913	4737	4508.83	0.0724031	0.9308
NM_001700	912	683.835	0	0
NM_014256	2720	2491.83	0	0
